bioguide_id,opensecrets_id
B000944,N00003535
C000127,N00007836
C000141,N00001955
C000174,N00012508
C001070,N00027503
C001071,N00027441
F000062,N00007364
H000338,N00009869
K000367,N00027500
M001170,N00027694
M000639,N00000699
N000032,N00009926
S000033,N00000528
S000770,N00004118
T000464,N00027605
W000802,N00027533
B001261,N00006236
W000437,N00003280
A000360,N00009888
C000567,N00003328
C001035,N00000491
C001056,N00024852
D000563,N00004981
E000285,N00006249
G000359,N00009975
I000024,N00005582
M000355,N00003389
M001176,N00029303
R000122,N00000362
R000584,N00029441
R000307,N00005285
S001141,N00003062
S001181,N00024790
U000039,N00006561
W000805,N00002097
G000555,N00027658
F000457,N00029016
C001088,N00031820
M001183,N00032838
A000055,N00003028
A000367,N00031938
A000368,N00030980
B001230,N00004367
B001269,N00025495
B000213,N00005656
B001270,N00031877
B000287,N00009774
B001271,N00031934
B001267,N00030608
B001257,N00027462
B001250,N00025292
B000490,N00002674
B001273,N00031539
B001243,N00003105
B000574,N00007727
B001277,N00031685
B000575,N00005195
B000589,N00003675
B001236,N00013873
B001245,N00024866
B001255,N00026595
B000711,N00006692
B000755,N00005883
B001227,N00001619
B001274,N00030910
B000911,N00002713
B001260,N00027626
B001275,N00031227
B001248,N00025219
B001135,N00002221
B001251,N00027035
C000059,N00007099
C001047,N00009771
C001036,N00007232
C001037,N00000267
C001083,N00030736
C001072,N00029513
C001051,N00025095
C001075,N00030245
C001066,N00027514
C000266,N00003689
C001076,N00028958
C001080,N00030600
C001084,N00032019
C001067,N00026961
C001049,N00012460
C001061,N00026790
C000537,N00002408
C000542,N00003845
C001077,N00024753
C001068,N00003225
C001053,N00025726
C001062,N00026041
C001078,N00029891
C000714,N00004029
C000754,N00003132
C001059,N00026341
C001069,N00024842
C000880,N00006267
C001087,N00030770
C001045,N00012739
C001038,N00001127
C001063,N00024978
C001048,N00009738
C000984,N00001971
D000096,N00004884
D000598,N00009604
D000191,N00007781
D000197,N00006134
D000216,N00000615
D000612,N00031593
D000604,N00026171
D000616,N00030957
D000610,N00031317
D000600,N00025337
D000399,N00006023
D000607,N00026586
D000482,N00001373
D000614,N00030967
D000615,N00030752
D000533,N00003209
E000290,N00028249
E000288,N00028257
E000291,N00031513
E000179,N00001003
E000215,N00007335
F000460,N00031672
F000030,N00007312
F000043,N00001746
F000458,N00031141
F000451,N00027229
F000444,N00009573
F000459,N00030815
F000456,N00029679
F000461,N00031545
F000445,N00013799
F000449,N00026631
F000450,N00026166
F000448,N00006423
F000372,N00000684
F000455,N00030490
G000559,N00030856
G000562,N00030780
G000548,N00000743
G000563,N00031128
G000564,N00031998
G000552,N00026148
G000289,N00009154
G000565,N00030771
G000566,N00030880
G000377,N00008799
G000386,N00001758
G000546,N00013323
G000560,N00030788
G000553,N00026686
G000410,N00005870
G000568,N00032029
G000551,N00025284
G000558,N00029675
G000535,N00004874
H001051,N00030197
H001045,N00029632
H001052,N00029147
H001053,N00031005
H000324,N00002884
H001055,N00031244
H001046,N00029835
H001036,N00024922
H001056,N00031559
H001038,N00027060
H001047,N00029070
H000636,N00006008
H001042,N00028139
H001061,N00031688
H001034,N00012611
H000874,N00001821
H001057,N00027649
H001058,N00030673
H001059,N00031104
H001048,N00029258
H001060,N00031265
I000055,N00002593
I000057,N00013345
I000056,N00007017
J000032,N00005818
J000290,N00029077
J000292,N00032088
J000126,N00008122
J000288,N00027848
J000293,N00032546
J000174,N00008028
J000255,N00002299
J000289,N00027894
K000009,N00003522
K000375,N00031933
K000376,N00031647
K000188,N00004403
K000210,N00001193
K000362,N00025237
K000378,N00030667
K000360,N00012539
K000363,N00004436
L000573,N00031377
L000564,N00028133
L000567,N00000898
L000559,N00009724
L000575,N00031129
L000560,N00009759
L000557,N00000575
L000566,N00012233
L000174,N00009918
L000551,N00008046
L000577,N00031696
L000263,N00003950
L000287,N00002577
L000563,N00027239
L000554,N00000851
L000565,N00027741
L000397,N00007479
L000576,N00030676
L000480,N00001024
L000491,N00005559
L000569,N00030026
L000570,N00029562
L000571,N00029788
L000562,N00013855
M000087,N00000078
M001158,N00026710
M001179,N00031777
M000133,N00000270
M001163,N00027459
M000303,N00006424
M001165,N00028152
M001157,N00026460
M001177,N00006863
M001143,N00012942
M000404,N00009829
M000312,N00000179
M001156,N00026627
M001180,N00031681
M001159,N00026314
M001166,N00026926
M001181,N00031134
M001137,N00001171
M000689,N00002793
M000702,N00001945
M001150,N00009795
M001144,N00013846
M001160,N00026914
M000934,N00005282
M001182,N00031412
M001153,N00026050
M001169,N00027566
M001151,N00024992
M001111,N00007876
N000002,N00000939
N000179,N00006789
N000015,N00000153
N000182,N00026043
N000184,N00032022
N000147,N00001692
N000185,N00032441
N000181,N00007248
O000168,N00029285
P000601,N00031958
P000034,N00000781
P000096,N00000751
P000603,N00030836
P000594,N00029391
P000588,N00012672
P000197,N00007360
P000593,N00027510
P000595,N00029277
P000258,N00004558
P000596,N00029168
P000597,N00013817
P000373,N00001633
P000592,N00026457
P000598,N00029127
P000602,N00030744
P000449,N00003682
P000599,N00029662
P000523,N00002260
P000591,N00026160
Q000023,N00030581
R000053,N00000964
R000585,N00030949
R000578,N00026885
R000146,N00009922
R000586,N00031127
R000587,N00030968
R000588,N00030184
R000589,N00030962
R000591,N00030768
R000582,N00028463
R000395,N00003473
R000575,N00024759
R000409,N00007151
R000592,N00031741
R000583,N00029018
R000435,N00002858
R000580,N00004719
R000593,N00030645
R000486,N00006671
R000487,N00008264
R000595,N00030612
R000576,N00025482
R000515,N00004887
R000570,N00004357
R000577,N00025280
S001177,N00030418
S000030,N00008274
S001168,N00027751
S001176,N00009660
S001145,N00004724
S001150,N00009585
S001179,N00029273
S001180,N00030071
S000148,N00001093
S001183,N00006460
S001189,N00032457
S001157,N00024871
S000185,N00002147
S001184,N00031782
S000244,N00004291
S000248,N00001813
S000250,N00005681
S001185,N00030622
S000320,N00009920
S000344,N00006897
S000364,N00004961
S001154,N00013770
S001148,N00006263
S001165,N00027523
S000480,N00001311
S000510,N00007833
S001172,N00027623
S000522,N00009816
S000583,N00001811
S001175,N00029649
S001187,N00029574
S001188,N00030891
S001156,N00024870
T000193,N00003288
T000460,N00007419
T000467,N00029736
T000238,N00006052
T000250,N00004572
T000462,N00009699
T000470,N00027509
T000469,N00030196
T000461,N00001489
T000465,N00029026
T000463,N00025175
U000031,N00004133
V000128,N00013820
V000081,N00001102
V000108,N00003813
V000127,N00009659
W000798,N00026368
W000791,N00007690
W000799,N00027467
W000797,N00026106
W000187,N00006690
W000806,N00026335
W000800,N00000515
W000796,N00026163
W000413,N00003467
W000795,N00024809
W000808,N00030650
W000804,N00029459
W000809,N00031857
W000810,N00032416
W000779,N00007724
Y000062,N00028073
Y000063,N00031502
Y000033,N00007999
Y000064,N00030670
H001041,N00027522
H001063,N00006806
A000369,N00031177
B001278,N00033474
D000617,N00030693
M001184,N00034041
P000604,N00034639
S001194,N00028138
S000018,N00006446
F000454,N00029139
G000556,N00028418
K000368,N00029260
T000468,N00030191
C001095,N00033363
S001191,N00033983
L000578,N00033987
H001068,N00033030
B001287,N00030717
C001094,N00034224
S001193,N00033508
V000129,N00033367
B001285,N00034254
C001097,N00033373
R000599,N00033510
T000472,N00006701
L000579,N00033274
V000130,N00007021
P000608,N00033591
E000293,N00033217
Y000065,N00033220
D000621,N00034746
M001191,N00033091
F000462,N00002893
C001093,N00033518
G000571,N00033281
D000622,N00027860
D000619,N00034784
B001286,N00033390
W000813,N00031226
B001284,N00033495
M001189,N00012546
B001282,N00031233
W000817,N00033492
K000379,N00034044
D000620,N00033897
K000383,N00034580
K000380,N00033395
N000127,N00021207
W000812,N00033106
D000618,N00033054
H001067,N00033630
P000606,N00034416
M001187,N00033631
H001065,N00033399
H001069,N00033782
C001096,N00004614
F000463,N00033443
K000382,N00030875
L000580,N00029400
M001188,N00034547
J000294,N00033640
M001185,N00034277
C001092,N00001285
W000815,N00033310
B001281,N00033904
J000295,N00035007
B001283,N00033532
M001190,N00033410
P000605,N00034120
R000598,N00031253
C001090,N00034128
R000597,N00033832
C001098,N00033085
W000814,N00033539
O000170,N00033540
C001091,N00033316
W000816,N00030602
V000131,N00033839
V000132,N00034349
S001192,N00033932
K000384,N00033177
K000381,N00034453
H001064,N00031557
P000607,N00033549
K000385,N00035215
S000051,N00002424
S001195,N00035282
B001288,N00035267
C001101,N00035278
B001289,N00035380
J000296,N00035717
C001102,N00035854
B001290,N00036013
N000188,N00036154
A000370,N00035451
D000613,N00031103
G000570,N00030801
P000609,N00035691
H001072,N00035792
W000821,N00035527
M001197,N00033982
G000574,N00036097
D000623,N00030709
K000387,N00035820
A000371,N00033997
L000582,N00035825
T000474,N00036107
W000820,N00035391
B001297,N00030829
G000575,N00035688
C001107,N00035403
C001103,N00035346
H001071,N00032243
L000583,N00035347
A000372,N00033720
T000473,N00035535
B001294,N00033744
Y000066,N00035509
B001295,N00035420
A000374,N00036633
G000577,N00036135
M001196,N00035431
P000611,N00034584
M001194,N00036275
B001293,N00036449
T000475,N00035607
D000624,N00036149
L000581,N00034068
E000294,N00035440
Z000018,N00035616
R000603,N00033527
A000373,N00005293
M001193,N00036155
W000822,N00036158
H001070,N00035628
Z000017,N00029404
R000602,N00035927
S001196,N00035523
K000386,N00035934
R000604,N00036175
C001106,N00031064
B001296,N00035307
R000601,N00035972
H001073,N00031417
B001291,N00005736
L000584,N00033842
B001292,N00036018
C001105,N00036023
P000610,
N000189,N00036403
