original_address,pfid,code,name,cid,google_address,full_name,lat,lng
"1806 West St. - Union City, NJ",G001599,F4000,"Menendez, Robert",N00000699,"1806 West Street, Union City, NJ 07087, USA",Sen. Robert Menendez (NJ),40.764269,-74.035978
710 North Gloster,A060000772,F4000,"Wicker, Roger",N00003280,"710 North Gloster Street, Tupelo, MS 38804, USA",Sen. Roger Wicker (MS),34.2670929,-88.7155418
"4 Undeveloped lots - Appraised market value - $17,414",C110001699,F4000,"Alexander, Lamar",N00009888,"Victoria, TX, USA",Sen. Lamar Alexander (TN),28.8052674,-97.0035982
"6207 30th Street North Arlington, VA 22207",A100118580,F4000,"Aderholt, Robert B",N00003028,"6207 30th Street North, Arlington, VA 22207, USA",Rep. Robert B Aderholt (AL),38.899374,-77.152992
"1110 Balweg Lane, Ft Myers FL",B120043108,F4000,"Barletta, Louis J",N00025495,"Ballweg Lane, Fort Myers, FL 33908, USA",Rep. Louis J Barletta (PA),26.506357,-81.937004
"101 North Carolina Place, SE Apt. H Washington, DC",B120042759,F4000,"Becerra, Xavier",N00009774,"101 Carolina Street, Bellingham, WA 98225, USA",Rep. Xavier Becerra (CA),48.7603974,-122.4750528
"220 Park Avenue South - New York, NY",C120016408,F4000,"Blumenthal, Richard",N00031685,"220 Park Avenue South, New York, NY 10003, USA",Sen. Richard Blumenthal (CT),40.73717480000001,-73.98892529999999
"(Westbury) 5500 SW 30th Avenue Marion County Ocala, FL 34474",H000217,F4000,"Bordallo, Madeleine Z",N00024866,"5500 Southwest 30th Avenue, Ocala, FL 34471, USA",Rep. Madeleine Z Bordallo (GU),29.1328846,-82.1754639
305 C Street,Z004177,F4000,"Boxer, Barbara",N00006692,"305 C Street Northeast, Washington, DC 20002, USA",Sen. Barbara Boxer (CA),38.8935659,-77.0018537
1 Acres 1831 Crow St Denton Texas,F060003728,F4000,"Burgess, Michael",N00025219,"1831 Crow Street, Denton, TX 76201, USA",Rep. Michael Burgess (TX),33.220881,-97.153002
"450 New Jersey Ave., SE Washington, DC residence",A000674,F4000,"Burr, Richard",N00002221,"450 New Jersey Avenue Southeast, Washington, DC 20003, USA",Sen. Richard Burr (NC),38.883729,-77.006378
"1154 E. 6th Street, Corona, CA (16.5%)",B000600,F4000,"Calvert, Ken",N00007099,"1154 East 6th Street, Corona, CA 92879, USA",Rep. Ken Calvert (CA),33.873614,-117.549337
"172 Central St, Somerville, MA",G000315,F4000,"Capuano, Michael E",N00000267,"172 Central Street, Somerville, MA 02145, USA",Rep. Michael E Capuano (MA),42.394003,-71.099892
5545 Riverbend Baton Rouge LA,H070004013,F4000,"Cassidy, William",N00030245,"5545 Riverbend Boulevard, Baton Rouge, LA 70820, USA",Sen. William Cassidy (LA),30.38519999999999,-91.196513
"46 South Ridge Rd, Chilmark, MA",A100105653,F4000,"Cicilline, David N",N00032019,"46 South Ridge Road, Chilmark, MA 02535, USA",Rep. David N Cicilline (RI),41.368913,-70.704514
"2319 Woodmont Blvd, Nashville, TN (vacant lot)",A080065238,F4000,"Cooper, Jim",N00003132,"2319 Woodmont Boulevard, Nashville, TN 37215, USA",Rep. Jim Cooper (TN),36.113929,-86.81951699999999
"408 5th Street St. SE, Washington D.C.",A100094673,F4000,"Costa, Jim",N00026341,"408 5th Street Southeast, Washington, DC 20003, USA",Rep. Jim Costa (CA),38.883907,-76.999206
"1 Farley Drive, Rensselaer, NY",A100085744,F4000,"Crowley, Joseph",N00001127,"1 Farley Drive, Rensselaer, NY 12144, USA",Rep. Joseph Crowley (NY),42.656729,-73.713281
"602 Reynolds (Middle) St Laredo, TX 78040 (Previously combined with 602 Reynolds Rear St)",A100093516,F4000,"Cuellar, Henry",N00024978,"Laredo, TX, USA",Rep. Henry Cuellar (TX),27.5305671,-99.48032409999999
"1830 11th St., NW, Ste 1, Washington, DC 20001",C110037179,F4000,"Cummings, Elijah E",N00001971,"1830 11th Street Northwest, Washington, DC 20001, USA",Rep. Elijah E Cummings (MD),38.9151921,-77.0272471
36 Hempleman drive Akaroa NZ 1/4 share rental property,A100091274,F4000,"DeFazio, Peter",N00007781,"36 Hempleman Drive, Akaroa 7520, New Zealand",Rep. Peter DeFazio (OR),-43.8158472,172.9536405
"11580 Longview Ave, Atwater, CA",B100142326,F4000,"Denham, Jeff",N00031593,"11580 Longview Avenue, Atwater, CA 95301, USA",Rep. Jeff Denham (CA),37.3532135,-120.7015762
"16558 NE 26 Ave #5C N. Miami Beach, Fl. 33160",P004040,F4000,"Diaz-Balart, Mario",N00025337,"16558 Northeast 26th Avenue, North Miami Beach, FL 33160, USA",Rep. Mario Diaz-Balart (FL),25.929754,-80.146232
"1200 Baylor #401, Austin TX",F000786,F4000,"Doggett, Lloyd",N00006023,"1200 Baylor Street, Austin, TX 78703, USA",Rep. Lloyd Doggett (TX),30.2780209,-97.7529455
"1930 Lakeshore Drive Michigan City, IN",C110012047,F4000,"Donnelly, Joe",N00026586,"1930 Lake Shore Drive, Michigan City, IN 46360, USA",Sen. Joe Donnelly (IN),41.7364249,-86.87631900000001
"1916 Monongahela Avenue Pittsburgh, PA",A100085874,F4000,"Doyle, Mike",N00001373,"1916 Monongahela Avenue, Pittsburgh, PA 15218, USA",Rep. Mike Doyle (PA),40.421335,-79.890333
6464 McCarry Lake Rd Iron River WI,N090001557,F4000,"Duffy, Sean P",N00030967,"McCarry Lake Road, Iron River, WI 54847, USA",Rep. Sean P Duffy (WI),46.5154983,-91.3701273
"829 Tocine St., Greenwood SC",N090001120,F4000,"Duncan, Jeff",N00030752,"Greenwood, SC, USA",Rep. Jeff Duncan (SC),34.1954001,-82.1617883
"3352 N Alpine Vista Way, Lehi, Utah 84043",A080072494,F4000,"Flake, Jeff",N00009573,"3352 Alpine Vista Way, Lehi, UT 84043, USA",Sen. Jeff Flake (AZ),40.430243,-111.828222
"536 Johnstown Rd., Chesapeake VA rental home",C120001961,F4000,"Forbes, J Randy",N00013799,"Chesapeake, VA, USA",Rep. J Randy Forbes (VA),36.7682088,-76.2874927
"3646 Chelton Road Shaker Heights, Ohio",A100101667,F4000,"Fudge, Marcia L",N00030490,"3646 Chelton Road, Shaker Heights, OH 44120, USA",Rep. Marcia L Fudge (OH),41.460362,-81.56756
7400 Gwin St Valley Springs CA,B120035918,F4000,"Garamendi, John",N00030856,"7400 Gwin Street, Valley Springs, CA 95252, USA",Rep. John Garamendi (CA),38.276384,-120.76739
13769 Tr 473 Lakeville OH,N090003373,F4000,"Gibbs, Bob",N00031128,"13769 TR 473, Lakeville, OH 44638, USA",Rep. Bob Gibbs (OH),40.629881,-82.11684799999999
"4708 Washburn, Fort Worth, TX",C120001848,F4000,"Granger, Kay",N00008799,"4708 Washburn Avenue, Fort Worth, TX 76107, USA",Rep. Kay Granger (TX),32.7434129,-97.3900062
"1280 West Peachtree Atlanta, GA",B120035847,F4000,"Graves, Tom",N00030788,"1280 West, Atlanta, GA 30309, USA",Rep. Tom Graves (GA),33.789,-84.38799999999999
"7447 Cambridge, #124 Houston, TX 77054",B120031330,F4000,"Green, Al",N00026686,"7447 Cambridge Street #124, Houston, TX 77054, USA",Rep. Al Green (TX),29.697461,-95.391706
10003 E Country Shadows Dr,G005083,F4000,"Grijalva, Raul M",N00025284,"10003 East Country Shadows Drive, Tucson, AZ 85748, USA",Rep. Raul M Grijalva (AZ),32.192876,-110.779195
"1003 W. Fulton Chicago, Il",J002067,F4000,"Gutierrez, Luis V",N00004874,"1003 West Fulton Street, Chicago, IL 60607, USA",Rep. Luis V Gutierrez (IL),41.88671189999999,-87.6523132
"3 Country Place Pearl, MS 39208",A100100941,F4000,"Harper, Gregg",N00029632,"3 Country Place, Pearl, MS 39208, USA",Rep. Gregg Harper (MS),32.2771876,-90.0774271
"529, College Savings Plan of MD, Portfolio for College",A100100466,Y0000,"Harris, Andy",N00029147,"Maryland, USA",Rep. Andy Harris (MD),39.0457549,-76.64127119999999
33 Hollywood Avenue,H001974,F4000,"Higgins, Brian M",N00027060,"33 Hollywood Avenue, Buffalo, NY 14220, USA",Rep. Brian M Higgins (NY),42.838779,-78.813571
"342 S. Texas Ave. Mercedes, TX Ruben's Rental Building",A080069924,F4000,"Hinojosa, Ruben",N00006008,"342 South Texas Avenue, Mercedes, TX 78570, USA",Rep. Ruben Hinojosa (TX),26.1486969,-97.91294239999999
"1122 Elm St. #204 Honolulu, HI",A100100118,F4000,"Hirono, Mazie K",N00028139,"1122 Elm Street, Honolulu, HI 96814, USA",Sen. Mazie K Hirono (HI),21.29925,-157.8458039
10 North Main Street Chatham VA 24531,A100104320,F4000,"Hurt, Robert",N00031265,"10 Main Street, Chatham, VA 24531, USA",Rep. Robert Hurt (VA),36.826662,-79.39863900000002
807 University Towers condo Athens GA,A090126756,F4000,"Isakson, Johnny",N00002593,"Athens, GA, USA",Sen. Johnny Isakson (GA),33.9519347,-83.357567
2067 W Vista Way LP,D110005076,F4100,"Issa, Darrell",N00007017,"2067 North Vista Circle, Palmer, AK 99645, USA",Rep. Darrell Issa (CA),61.62756399999999,-149.0425242
"1846 Rivard Rd., Toledo, OH 43615",E000734,F4000,"Kaptur, Marcy",N00003522,"1846 Rivard Road, Toledo, OH 43615, USA",Rep. Marcy Kaptur (OH),41.6580219,-83.6662758
"111 Bay Rd Sharon, MA",C110026701,F4000,"Keating, William R",N00031933,"111 Bay Road, Sharon, MA 02067, USA",Rep. William R Keating (MA),42.13532,-71.1507309
5 Buckhotz Road,G001156,F4000,"Kind, Ron",N00004403,"Ettrick, WI 54627, USA",Rep. Ron Kind (WI),44.1682926,-91.26904429999999
3292 Mt. Vernon Ave Alex. VA,P001277,F4000,"Kirk, Mark",N00012539,"3292 Mount Vernon Avenue, Alexandria, VA 22305, USA",Sen. Mark Kirk (IL),38.834733,-77.060458
"14901 Park Lane Drive #101, Ft Meyers, FL",B120028321,F4000,"Langevin, Jim",N00009724,"14901 Parkcrest Boulevard #101, Fort Myers, FL 33912, USA",Rep. Jim Langevin (RI),26.5430797,-81.84313399999999
"1250 4th Street, SW, Apt. W 400. Washington, D.C. Rental Income For Parking Space (personal residenc",D000010,F4000,"Lee, Barbara",N00008046,"1250 4th Street Southwest, Washington, DC 20024, USA",Rep. Barbara Lee (CA),38.8751976,-77.0172765
"32 Martin Lane, Dallas County, MO",B120035420,F4000,"Long, Billy",N00030676,"32 Martin Lane, Fair Grove, MO 65648, USA",Rep. Billy Long (MO),37.4307829,-93.1444317
"649 C Street SE, Apt 209",C120000237,F4000,"Lowey, Nita M",N00001024,"649 South Saint Southeast #209, Warren, OH 44483, USA",Rep. Nita M Lowey (NY),41.2341785,-80.8094201
